4P_Order,Order_date,Shipping_date,Shipping_revenues,Shipping_cost,Carrier Class,TRK,weight,zip,order_total,Ins
44080,2019-08-02,2019-08-02,12.77,8.87,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95587820,2.38,11385,175.77,163
44081,2019-08-02,2019-08-02,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99481212,1.69,22407,165.71,154
44082,2019-08-02,2019-08-02,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90864735,1.19,20120,96.71,110
44083,2019-08-02,2019-08-02,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94192758,3.44,33437,299.87,287
44084,2019-08-02,2019-08-02,15.57,10.81,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93933468,1.81,77868,103.57,88
44086,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,32801,122.9,119
44088,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,1118,53.9,50
44089,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,11105,47.9,44
44090,2019-08-02,2019-08-02,37.57,26.09,UPS/UPS 2nd Day Air,1Z1A1V710292237427,1.19,99515,162.57,125
44091,2019-08-02,2019-08-02,21.83,15.16,UPS/UPS 3 Day Select,1Z1A1V711299970068,2.06,33603,186.73,194
44092,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,3102,102.9,99
44093,2019-08-02,2019-08-02,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95169040,1.06,90027,52.09,39
44094,2019-08-02,2019-08-02,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99003989,1.44,48197,132.31,134
44095,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,926,28.9,25
44096,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,41031,25.9,22
44097,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,92128,103.9,100
44100,2019-08-02,2019-08-02,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90165517,1.44,91741,66.19,59
44101,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,80236,122.9,119
44102,2019-08-02,2019-08-02,116.47,79.53,UPS/UPS 3 Day Select,1Z1A1V711299195101,44,85015,611.47,495
44103,2019-08-02,2019-08-02,47.95,33.3,UPS/UPS Next Day Air,1Z1A1V710198470148,0.19,94070,61.95,14
44104,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,62711,32.9,29
44108,2019-08-02,2019-08-02,11.49,7.58,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN98398732,1,92691,60.49,49
44106,2019-08-02,2019-08-02,64.27,64.31,UPS/UPS 3 Day Select,1Z1A1V711298020925,37,66215,514.27,225
44107,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,36867,21.9,20
